|-------------------------------------------------------------------------|
|   File Name : in_temp.dat
|   Subject   : temperature profiles used for initial guess atmosphere
|   File Type : input of gmtr
|   Data Type : atmospherical data
|   Author/s  : WRF-Chem
|   Date      : Fri Jul 26 15:39:24 2024
|-------------------------------------------------------------------------|

 WRF-Chem temperature
#
 values of T (K)    (8f10.5)
#
 217.00931 216.19611 215.30090 214.67170 214.12849 213.11949 210.74402 209.95235
 210.40495 210.98154 212.43469 215.28053 219.36736 224.10034 229.79849 234.89049
 238.78647 242.77374 246.99252 251.18066 254.97403 258.75549 261.62671 263.44916
 266.05505 268.81345 271.30283 273.44672 275.42316 277.21457 278.73373 280.29871
 282.01138 283.60876 285.14520 286.50415 287.68311 288.72638 289.68076 290.54630
 291.32709 292.02399 292.63730 293.44241
 366.78100 356.34165 345.78029 334.65294 323.06258 311.26323 299.13987 286.94952
 274.66817 262.57181 250.58746 239.89510 230.02375 221.13439 213.32304 206.33169
 200.17233 195.11698 191.70562 189.75427 188.79791 188.86856 189.71021 191.02485
 192.75650 194.85814 197.12779 199.49343 201.94508 204.43173 206.52637 208.37502
 210.00766 211.15931 211.39495 211.62960 211.57325 211.28489 210.92454 210.56118
 210.18483 209.90147 209.71612 209.58677 209.52141 209.85906 210.25170 210.64735
 211.44699 212.63164 213.88829 215.67793 217.61258 219.66222 221.76387 223.85351
 225.92016 228.01081 230.11445 232.22710 234.36274 236.54139 238.80403 241.18068
 243.80833 246.06597 248.07462 249.84626 251.26991 252.39955 253.22820 253.55085
 253.59449 253.37514 252.74178 251.69643 250.30907 248.47672 246.39237 244.23201
 242.02966 239.84030 237.66695 235.51259 233.37924 231.25289 229.28553 227.44918
 225.73882 224.21747 222.85411 221.63276 220.52141 219.48805 218.59870 217.74634
 216.99499 216.18163 215.28628 214.65693 214.11357 213.14064 210.84938 210.06078
 210.41277 211.03752 212.49219 215.23227 219.26384 224.02505 229.71861 234.80652
 238.69411 242.67288 246.90240 251.10995 254.91225 258.70425 261.58835 263.42599
 266.04865 268.81201 271.28415 273.37933 275.37119 277.20425 278.69180 280.21964
 281.92419 283.51651 285.04520 286.40469 287.58414 288.62750 289.58249 290.44827
 291.23010 291.92764 292.53979 293.34833
 366.78100 356.34142 345.77985 334.65227 323.06170 311.26212 299.13854 286.94797
 274.66639 262.56981 250.58524 239.89266 230.02109 221.13151 213.31993 206.32836
 200.16878 195.11321 191.70163 189.75005 188.79348 188.86390 189.70532 191.01975
 192.75117 194.85260 197.12202 199.48744 201.93887 204.42529 206.51972 208.36814
 210.00056 211.15199 211.38741 211.62183 211.56526 211.27668 210.91611 210.55253
 210.17595 209.89238 209.70680 209.57723 209.51165 209.84907 210.24150 210.63692
 211.43634 212.62077 213.87719 215.66662 217.60104 219.65046 221.75189 223.84131
